PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9920TT,Brain/Hart - LPT Assy. with Cert,1,,,"D,J",,,,,,,,,,,"GS12,GS21,GU12,GU21,KS21,KU22,SU21,SU22","A,CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,NS21,PS21,US1"
F9920TX,Low Power - LPT Assy,1,,,Q,,,,,,,,,,,,"A,SLT"
F9920TL,TERMINAL ASSY,1,,,"D,J",,,,,,,,,,J12,,"A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,JS4,NS21,PS21,SU21,SU22,US1"
F9920TP,Brain/Hart - LPT Assy. w/o Cert,1,,,"D,J",,,,,,,,,,,,"A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SLT,SU21,SU22,US1"
F9920VK,LPT ASSY,1,,,"D,J",,,,,,,,,,A,"JS4,NS21,PS21,US1","CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,KS21,KU22,SU21,SU22"
F9920VS,Brain/Hart - LPT Assy. with Cert & /A ,1,,,"D,J",,,,,,,,,,A,"CS1,CU1,FS1,FU1,GS11,GU11","GS12,GS21,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9920VT,Brain/Hart - LPT Assy. with Cert & /A ,1,,,"D,J",,,,,,,,,,A,"GS12,GS21,GU12,GU21,KS21,KU22,SU21,SU22","CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,NS21,PS21,US1"
F9920VY,Low Power - LPT Assy & /A,1,,,Q,,,,,,,,,,A,,SLT
F9920VL,LPT ASSY,1,,,"D,J",,,,,,,,,,"A,J12",,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,JS4,NS21,PS21,SU21,SU22,US1"
F9920VP,Brain/Hart - LPT Assy. w/o Cert & /A,1,,,"D,J",,,,,,,,,,A,,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SLT,SU21,SU22,US1"
F9921TF,Field/Profi Bus - LPT Assy. w/o Cert,1,,"EJA110E,EJA120E,EJA130E,EJA310E,EJA430E,EJA440E",G,,,,,,,,,,,,"A,CS15,FS15,GS16,KS26,NS25,SS26"
F9921VF,Field/Profi Bus - LPT Assy. w/o Cert & /A,1,,"EJA110E,EJA120E,EJA130E,EJA310E,EJA430E,EJA440E",G,,,,,,,,,,A,,"CS15,FS15,GS16,KS26,NS25,SS26"
F9920TS,Brain/Hart - LPT Assy. with Cert ,1,,,"D,J",,,,,,,,,,SLT,,"A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JH05,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9920VS,Brain/Hart - LPT Assy. with Cert & /A ,1,,,"D,J",,,,,,,,,,"A,SLT",,"CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,JH05,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9920TK,TERMINAL ASSY,1,,,"D,J",,,,,,,,,,,"JS4,NS21,PS21,US1","A,CS1,CU1,FS1,FU1,GS11,GS12,GS21,GU11,GU12,GU21,J12,KS21,KU22,SU21,SU22"
F9920TS,Brain/Hart - LPT Assy. with Cert ,1,,,"D,J",,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GU11","A,GS12,GS21,GU12,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,SU22,US1"
F9921TC,TERMINAL ASSY,1,,,"F,G",,,,,,,,,,GS16,,A
F9921VC,LPT ASSY,1,,,"F,G",,,,,,,,,,"A,GS16",,
F9921TF,Field/Profi Bus - LPT Assy. w/o Cert,1,,,F,,,,,,,,,,,,"A,CS15,FS15,GS16,KS26,NS25,SS26"
F9921TG,Field/Profi Bus - LPT Assy. with Cert,1,,,"F,G",,,,,,,,,,,"CS15,FS15,KS26,NS25,SS26",A
F9921VF,Field/Profi Bus - LPT Assy. w/o Cert & /A,1,,,F,,,,,,,,,,A,,"CS15,FS15,GS16,KS26,NS25,SS26"
F9921VG,Field/Profi Bus - LPT Assy. with Cert & /A,1,,,"F,G",,,,,,,,,,A,"CS15,FS15,KS26,NS25,SS26",
F9342NJ,2-Core Cable,1,,,"D,F,G,J",,,,,,,,,,,,
F9920LU,LCD Assy. w/o SW,1,,,,,,,,,,,D,,,,
F9920LV,LCD Assy. with SW,1,,,,,,,,,,,E,,,,
F9342MK,Nut for LCD Assy.,2,,,,,,,,,,,"D,E",,,,
F9342NF,FF LABEL,0,,,F,,,,,,,,,,,,"VE,VR"
F9342NG,PROFIBUS LABEL,0,,,G,,,,,,,,,,,,"VE,VR"
F9340VC,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"0,1,2",,9,,,,N,HD2,"N2,N3","HD,UN"
F9340VD,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"3,4,5",,9,,,,N,HD2,"N2,N3","HD,UN"
F9900TA,RC Flange for Inst. 8 or 9.,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"0,1,2,E",,"8,9",,,,,,,"GS,HD,HD2,N1,N2,N3,UN"
F9900TB,Flange for Inst. 8 or 9.,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"3,4,5,F",,"8,9",,,,,,,"GS,HD,HD2,N1,N2,N3,UN"
F9900TC,flange,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"0,1,2",,"2,3,6,7",,,,,,,"HD,HD2,UN"
F9900TD,Flange for Inst. 3 or 7.,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"3,4,5",,"2,3,6,7",,,,,,,"HD,HD2,UN"
F9340VA,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,"8,9",,,,,,,"GS,N1,N2,N3,UN"
F9340VC,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,"2,3,6,7",,,,,,,UN
F9900TA,RC Flange for Inst. 8 or 9.,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,"8,9",,,,,,,"GS,N1,N2,N3,UN"
F9900TB,Flange for Inst. 8 or 9.,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,"8,9",,,,,,,"GS,N1,N2,N3,UN"
F9900TC,flange,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,"2,3,6,7",,,,,,,UN
F9900TD,Flange for Inst. 3 or 7.,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,"2,3,6,7",,,,,,,UN
F9900TG,FLANGE,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"0,1,2",,B,,,,,,,"HD,HD2,UN"
F9900TH,"Flange for Inst. ""B"".",1,,"EJA110E,EJA110J",,"H,L,M,V",S,"3,4,5",,B,,,,,,,"HD,HD2,UN"
F9900TU,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,B,,,,,,,UN
F9900TG,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,B,,,,,,,UN
F9900TH,"Flange for Inst. ""B"".",1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,B,,,,,,,UN
F9900UA,FLANGE,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"0,1,2",,U,,,,,,,"HD,HD2,N1,N2,N3,U1,UN"
F9900UB,"Flange for Inst. ""U"".",1,,"EJA110E,EJA110J",,"H,L,M,V",S,"3,4,5",,U,,,,,,,"HD,HD2,N1,N2,N3,U1,UN"
F9900UL,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,U,,,,,,,"N1,N2,N3,U1,UN"
F9900UM,FLANGE,1,,"EJA110E,EJA110J",,F,S,"3,4,5",,U,,,,,,,"N1,N2,N3,U1,UN"
F9900UA,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,U,,,,,,,"N1,N2,N3,U1,UN"
F9900UB,"Flange for Inst. ""U"".",1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,U,,,,,,,"N1,N2,N3,U1,UN"
F9900TM,"Flange for P.C "" W"".",1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,S,"B,C,D,G,W",,9,,,,,,,
F9340RB,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,9,,,,"B,J,N",N1,,"GS,UN"
F9900TK,FLANGE,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"0,1,2",,9,,,,"B,J,N",N1,,"GS,HD,HD2,UN"
F9900TK,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,9,,,,"B,J,N",N1,,"GS,UN"
F9340RA,FLANGE,1,,"EJA110E,EJA110J",,F,S,"3,4,5",,9,,,,"B,J,N",N1,,"GS,UN"
F9900TL,Flange for option /U1,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"3,4,5",,9,,,,"B,J,N",N1,,"GS,HD,HD2,UN"
F9900TL,Flange for option /U1,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,9,,,,"B,J,N",N1,,"GS,UN"
F9340VC,FLANGE,1,,"EJA110E,EJA110J",,F,S,"0,1,2",,9,,,,N,,"N2,N3",UN
F9900TC,flange,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"0,1,2",,9,,,,N,,"N2,N3","HD,HD2,UN"
F9900TC,flange,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,9,,,,N,,"N2,N3",UN
F9900TD,Flange for Inst. 3 or 7.,1,,"EJA110E,EJA110J",,"H,L,M,V",S,"3,4,5",,9,,,,N,,"N2,N3","HD,HD2,UN"
F9900TD,Flange for Inst. 3 or 7.,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,9,,,,N,,"N2,N3",UN
F9340RB,FLANGE,1,,EJA110E,,F,S,0,,8,,,,,GS,,UN
F9900TK,FLANGE,1,,EJA110E,,"H,L,M,V",S,0,,8,,,,,GS,,"HD,HD2,UN"
F9900TK,FLANGE,1,,"EJA430E,EJA310E",,,S,0,,8,,,,,GS,,UN
F9340RB,FLANGE,1,,EJA110E,,F,S,0,,9,,,,,GS,,"N1,UN"
F9900TK,FLANGE,1,,EJA110E,,"H,L,M,V",S,0,,9,,,,,GS,,"HD,HD2,N1,UN"
F9900TK,FLANGE,1,,"EJA430E,EJA310E",,,S,0,,9,,,,,GS,,"N1,UN"
F9340RB,FLANGE,1,,EJA110E,,F,S,0,,9,,,,"B,J,N","GS,N1",,UN
