PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9913MB,Cover lock screw (bolt) incase of Flame proof cert. - case 3,2,,,,,,,3,,,,,"GF11,GF12,GF21,GU11,GU12,GU21,JF3,KF22,KU22,NF2,NF21,PF22,PF23,SF2,SF22,SU21,SU22,UF1",
F9900LK,LABEL,1,,,,,S,,1,,N,,JF3,,
F9900LL,LABEL,1,,,,,S,,1,,"D,E",,JF3,,
F9900LM,LABEL,1,,,,,H,,1,,N,,JF3,,
F9900LN,LABEL,1,,,,,H,,1,,"D,E",,JF3,,
F9900LT,LABEL,1,,,"D,J",,,,1,,,,JS4,,
F9900NY,LABEL,1,,EJA530J,"D,E,F,J",,,,1,,N,,JF5,,
F9900NZ,LABEL,1,,EJA530J,"D,E,F,J",,,,1,,"D,E",,JF5,,
F9341KQ,LABEL,1,,,,,,,1,,,,JF3,,
G9601AM,GLAND,1,,,,,,,,"0,5",,,G11,,
G9601AM,GLAND,2,,,,,,,,"0,5",,,G12,,
B1030EN,GLAND,1,,EJA530J,,,,,,"0,A",,,V11,,
B1030EN,GLAND,2,,EJA530J,,,,,,"0,A",,,V12,,
G9339AB,CARD,1,,,,,,,,,,,G11,,
G9339AB,CARD,2,,,,,,,,,,,G12,,
F9810AJ,CARD,1,,EJA530J,,,,,,"0,A",,,V11,,
F9810AJ,CARD,2,,EJA530J,,,,,,"0,A",,,V12,,
F9910LZ,LABEL,1,,,,,,,,"4,9,D",,,,"FF1,FU1",
F9220NX,ENGLISH IM,1,,,,,,,,,,,JH06,,
F9096KK,LABEL,1,,"EJA510E,EJA530E",,,,,,,,,,"UF1,US1",
F9901DA,EJA***E UK-DOC,1,,"EJA510E,EJA530E",,,,,,,,,UK,"KF22,KN26,KS21,KS26,KU22",
F9901BT,EJA-E SERIES EU-DOC,1,,"EJA510E,EJA530E",,,,,,,,,,"KF22,KN26,KS21,KS26,KU22",
B1030EN,GLAND,1,,,,,,,,"0,5,A",,,NF2,,
F9810AJ,CARD,1,,,,,,,,"0,5,A",,,NF2,,
F9901EB,IM,1,,"EJA510E,EJA530E,EJA530J",,,,,,,,,,"NF2,NF21,NS21,NS25",
F9901EA,IM,1,,"EJA510E,EJA530E",,,,,,,,,,"PF22,PF23,PS21",
F9901EC,IM,1,,"EJA510E,EJA530E",,,,,,,,,,"UF1,US1",
F9901EH,IM,1,,"EJA510E,EJA530E,EJA530J","D,J",,,,,,,,J12,,
F9901EL,IM,1,,"EJA510E,EJA530E,EJA530J",,,,,,,,,JH05,,SLT
F9900GK,Blind Plug - SS316 M20,1,,,,,,,"1,2,3",D,,,PP,,
F9900GL,PLUG,1,,,,,,,"1,2",A,,,PP,,
F9900GP,Blind Plug - SS304 M20,1,,,,,,,"1,3",9,,,PP,,HE
F9900GQ,Blind Plug - SS304 G1/2,1,,,,,,,1,5,,,PP,,HE
F9900GX,PLUG,1,,"EJA510E,EJA530E",,,,,"1,3",9,,,"HE,PP",,
F9900GY,PLUG,1,,,,,,,1,5,,,"HE,PP",,
F9913MY,Blind Plug - SS304 1/2 NPT (E-Conn 7),1,,,,,,,"1,3",7,,,PP,,
F9913MZ,Blind Plug - SS304 M20,1,,,,,,,"1,2,3",C,,,PP,,
F9900GB,Gasket for SS316 Blind Plug (M20),1,,,,,,,,"A,D",,,PP,,HE
F9900GW,O-RING,1,,,,,,,,"A,D",,,"HE,PP",,
F9341JA,Meter cover Glass,1,2,,,,,,1,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JD,Spring for Meter cover,1,2,,,,,,1,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JE,Ring for Meter cover,1,2,,,,,,1,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JQ,O-ring for Meter cover W/O /HE ,1,2,,,,,,1,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JA,Meter cover Glass,1,2,,,,,,1,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9341JD,Spring for Meter cover,1,2,,,,,,1,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9341JE,Ring for Meter cover,1,2,,,,,,1,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9341JQ,O-ring for Meter cover W/O /HE ,1,2,,,,,,1,,"D,E",,X2,,"HE,P1,P2,P7,PR"
F9341JA,Meter cover Glass,1,,,,,,,2,,"D,E",,,,"HE,PR,X2"
F9341JD,Spring for Meter cover,1,,,,,,,2,,"D,E",,,,"HE,PR,X2"
F9341JE,Ring for Meter cover,1,,,,,,,2,,"D,E",,,,"HE,PR,X2"
F9341JQ,O-ring for Meter cover W/O /HE ,1,,,,,,,2,,"D,E",,,,"HE,PR,X2"
F9341JA,Meter cover Glass,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JD,Spring for Meter cover,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JE,Ring for Meter cover,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JQ,O-ring for Meter cover W/O /HE ,1,2,"EJA510E,EJA530E",,,,,3,,"D,E",,,,"HE,P1,P2,P7,PR,X2"
F9341JA,Meter cover Glass,1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9341JD,Spring for Meter cover,1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9341JE,Ring for Meter cover,1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9900GU,Meter Cover Assy. O-ring for /HE,1,2,"EJA510E,EJA530E",,,,,1,,"D,E",,HE,,"P1,P2,P7,PR,X2"
F9900SN,U Bolt Assy - SS316 U bolt for EJA110 or 430 or 530 (Big),1,,,,,,,,,,L,,,
F9900SK,SS316 U bolt for EJA530 (Small),1,,,,,,,,,,L,,,
