Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24430,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24431,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA530Y_0000000003,CPA530Y-NBS4N-0NNNN,BOTTOM WORKS: CPA530Y-NBS4N-0NNNN,,0,,1,ST,90ZB24432,"12,107.26"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000256,CPA110Y-NVSNN-NNNNN,BOTTOM WORKS: CPA110Y-NVSNN-NNNNN,,0,,1,ST,90ZB24470,"15,508.22"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000256,CPA110Y-NVSNN-NNNNN,BOTTOM WORKS: CPA110Y-NVSNN-NNNNN,,0,,1,ST,90ZB24471,"15,508.22"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000011,CPA110Y-NMSNN-NNNNN/K3,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN/K3,,0,,1,ST,90ZB24472,"14,830.52"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000011,CPA110Y-NMSNN-NNNNN/K3,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN/K3,,0,,1,ST,90ZB24473,"14,830.52"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000011,CPA110Y-NMSNN-NNNNN/K3,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN/K3,,0,,1,ST,90ZB24474,"14,830.52"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24482,"22,645.32"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24483,"22,645.32"
